,evspsbl_CO2_anom,evspsbl_G1_anom,evspsbl_G1x_anom,evspsbl_pic,hfdsn_CO2_anom,hfdsn_G1_anom,hfdsn_G1x_anom,hfdsn_pic,hfls_CO2_anom,hfls_G1_anom,hfls_G1x_anom,hfls_pic,hfss_CO2_anom,hfss_G1_anom,hfss_G1x_anom,hfss_pic,hurs_CO2_anom,hurs_G1_anom,hurs_G1x_anom,hurs_pic,lwsnl_CO2_anom,lwsnl_G1_anom,lwsnl_G1x_anom,lwsnl_pic,p-e_CO2_anom,p-e_G1_anom,p-e_G1x_anom,p-e_pic,pr_CO2_anom,pr_G1_anom,pr_G1x_anom,pr_pic,prsn_CO2_anom,prsn_G1_anom,prsn_G1x_anom,prsn_pic,rlds_CO2_anom,rlds_G1_anom,rlds_G1x_anom,rlds_pic,rlus_CO2_anom,rlus_G1_anom,rlus_G1x_anom,rlus_pic,rsds_CO2_anom,rsds_G1_anom,rsds_G1x_anom,rsds_pic,rsus_CO2_anom,rsus_G1_anom,rsus_G1x_anom,rsus_pic,sbl_CO2_anom,sbl_G1_anom,sbl_G1x_anom,sbl_pic,sfc_heat_CO2_anom,sfc_heat_G1_anom,sfc_heat_G1x_anom,sfc_heat_pic,sfc_lw_CO2_anom,sfc_lw_G1_anom,sfc_lw_G1x_anom,sfc_lw_pic,sfc_nonrad_CO2_anom,sfc_nonrad_G1_anom,sfc_nonrad_G1x_anom,sfc_nonrad_pic,sfc_rad_CO2_anom,sfc_rad_G1_anom,sfc_rad_G1x_anom,sfc_rad_pic,sfc_sw_CO2_anom,sfc_sw_G1_anom,sfc_sw_G1x_anom,sfc_sw_pic,snd_CO2_anom,snd_G1_anom,snd_G1x_anom,snd_pic,snm_CO2_anom,snm_G1_anom,snm_G1x_anom,snm_pic,snw_CO2_anom,snw_G1_anom,snw_G1x_anom,snw_pic,tas_CO2_anom,tas_G1_anom,tas_G1x_anom,tas_pic,ts_CO2_anom,ts_G1_anom,ts_G1x_anom,ts_pic,tsn_CO2_anom,tsn_G1_anom,tsn_G1x_anom,tsn_pic
BNU-ESM,,,,,,,,,0.8965097916474649,0.08267622225494708,-0.02615159871782291,3.3029769722218587,1.7343619381733788,0.7681497641972737,0.638945502483578,-16.074098697281467,-0.02029424622153897,,,91.86422377436182,-369.47814525536023,,,552.1283763824397,0.3783265532002109,0.0611219867956968,0.018704614174678724,0.8180458785159557,0.39587283346399005,0.051898187105890115,0.005901053735029471,0.9321967638389022,0.1733387130318625,,,0.4498732042117372,24.77625967165426,5.658863476781136,3.102438368740735,142.88890245171078,20.57607522200172,3.8639032275866327,1.6291105988776167,188.31956386693543,-7.368708465205174,-4.98226376554652,-4.663142527122147,124.27274524833838,-6.293819140993193,-3.9258738162913716,-3.6092263596592744,93.42287168010338,,,,,0.4944240576161283,-0.11225517096603177,-0.19338180540226002,-1.8096669083329218,4.200184449652561,1.79496024919451,1.4733277698631326,-45.43066141522467,-2.6308717182090593,-0.8508259937044116,-0.6127939135404823,12.771121736722836,3.1252957879363787,0.7385708133917461,0.41941209592219586,-14.580788637113114,-1.074889326221772,-1.0563899490967152,-1.0539161670144956,30.849873568234983,-1278.2892871365366,,,1371.0729325741818,0.22060802844976055,,,0.049673777695084825,-799152.6559160872,,,846542.7286089355,6.400930063145228,1.3151957814080006,0.6351189195735714,-33.84248517232836,,,,,0.8740894273275224,,,-19.165609342548404
CCSM4,0.027754507742641647,0.005650247767635744,0.004167990076324547,0.047024592384315216,-0.2825620367504279,-0.045768021442738394,-0.029889193070145856,-0.008881593885236865,0.8530792169450936,0.18105072456228588,0.13598613507858293,1.4692536569233785,1.817521555584861,0.8246538204481659,0.7580745348930193,-24.579438199561306,-0.8613922019777647,-0.4273412606317635,-0.398234864536235,90.88558741778772,0.26950780301307425,0.0757906302372717,0.06280042972340369,0.0706555220447665,0.21688789275156461,0.01128723957608646,-0.002499838111768904,0.46411522072115463,0.24464239943183497,0.016937487460708223,0.001668152160626435,0.5111398133959701,0.2206743595350248,0.015468286165388423,0.0017076680356773455,0.4908816675195784,21.502868083627362,4.949516272217181,3.839488926032004,129.3804737473608,17.503440347427983,2.753535908384322,1.764443338644412,180.0601203013169,-6.198029801701296,-6.305606300422596,-6.312820117705513,138.27054646336128,-5.377859598751613,-5.171262067962715,-5.157408142096656,111.58730407833059,,,,,0.508657065660484,0.055932206725002875,0.025573583321021887,-0.8862198563932905,3.999427736199415,2.195980363832909,2.075045587387649,-50.67964655395612,-2.6706008043707214,-1.0057045658561456,-0.8940606900799928,23.110184557689923,3.179257836808649,1.0616367506526423,0.9196342522298622,-23.996404398850448,-0.8201702036572591,-1.1343442323688713,-1.1554119754643004,26.683242385505405,-0.015285997880627678,0.005588518407013909,0.006988312489907722,1.9449133489840722,0.09354759141018733,0.022481753551476455,0.017716252020339093,0.06881650497784463,-16.51977371086832,-6.472838820644824,-5.799115903344045,993.627639660658,5.416863285256362,0.8416619875181297,0.5348601619633371,-35.239467853051565,,,,,,,,
CESM-CAM5.1-FV,0.016332852128381807,0.0014884525199937299,0.0020122348358181316,0.021031688313404677,,,,,0.48677791372787804,0.04809056740094764,0.06356958172579386,0.6358341582032647,,0.5290895246292919,,-16.755919677110118,,,,,,,,,0.18097653167630895,-0.004567507631115186,0.00197938474309306,0.46195393482089736,0.1972761500179263,-0.003112293863729687,0.0039583810015220156,0.4830188581406508,,,,,,3.072053002093199,,126.4189953283797,,1.0279743872791016,,171.81899532068493,,-7.146888207293557,,144.9777987821129,,-5.6333037572223645,,117.21360116150542,,,,,,-0.046685764587026446,,-1.5157171716914046,,2.0440786148141683,,-45.399999992305275,,-0.5771800599850252,,16.120085511141422,,0.5304943283444992,,-17.63580268518295,,-1.5135844511883327,,27.764197620757706,,,,,,,,,,,,,5.712406360554851,0.32853970263570176,0.5185085946467467,-38.12011920227585,,,,,,,,
CSIRO-Mk3L-1-2,0.009291368245536124,0.00048998750155796,0.00032740050115108704,0.006998421445862398,,,,,0.26884747195727826,0.014177883038665684,0.009473397940068129,0.20250062895885762,1.0428750200877186,0.2494984744284956,0.2348425111763479,-9.516446047974696,,,,,,,,,0.0978076395176784,0.015317936320037029,0.013794112524942836,0.36280038955646066,0.10709900731409289,0.015807927458015902,0.014121516737986617,0.36979880885200117,0.09475639539387332,0.01527336060393214,0.013805078684805627,0.3593732617153911,15.410862592619708,4.061381625189227,3.8517238316740645,133.4580562325577,14.35534325919852,2.5782494404987517,2.360692398803593,176.33997942904918,-4.814312123375089,-5.664106640373376,-5.679804807002,145.97837688352493,-5.435973206857952,-4.48466656539037,-4.467093175736807,111.12627533330752,,,,,0.36545724944281854,0.04001638126952112,0.03400454561494981,1.284123805241447,1.0555193334211879,1.4831321846904686,1.4910314328704644,-42.881923196491464,-1.3117225179565342,-0.263676365716897,-0.24431591703988786,9.313945446471367,1.6771797358292693,0.30369273556882614,0.27832045160952035,-8.029821613630412,0.6216610834828913,-1.1794400749830203,-1.2127116312652149,34.852101550217384,-0.36486519485169966,-0.01592052348151629,-0.009474504490137203,3.3408904915482105,,,,,-36.48652023214743,-1.5920530193550917,-0.947451118817412,334.08905409015716,4.409506398228785,0.8209638087626345,0.7546730309374823,-37.57648834748253,4.610877857732234,0.9083012475751033,0.8399039310251979,-39.57462042380015,,,,
CanESM2,0.009218234427562241,0.0009060985323606878,0.0007600213198971535,0.01701719209076475,,,,,0.30247174137923616,0.029729759121029598,0.02493660017940813,0.5583786768847009,1.705506748886691,0.5393365769176945,0.5188423393201482,-23.039684717533977,0.25604305794988136,0.14900153995954213,0.14712039571899993,84.60644337992868,,,,,0.15163402799170062,0.002581882737007213,-3.7554934011196917e-05,0.4112379477294705,0.160852262106991,0.003487981015950825,0.0007224661335031302,0.42825514038234946,0.15291769810548955,0.0033352665998228614,0.0007065096950567562,0.4266751207435799,19.21489850290996,3.5257450701982407,3.2500243856162854,127.56588637896633,16.127224717342898,1.7726941096698283,1.5204280442651736,174.07692218034677,-4.128486091441999,-6.4010611939868625,-6.4409993567261665,139.47267652701962,-2.9565611091690585,-5.100743313488806,-5.138425103508837,115.4307460674791,,,,,-0.092228299795254,-0.11633325750403059,-0.11675687726591179,0.012200403526311146,3.0876737855669916,1.7530509605283768,1.7295963413510833,-46.511035801380416,-2.007978444619212,-0.5690663549511719,-0.5437789595465645,22.481306025348964,1.915750191288744,0.45273307864045265,0.4270220623268841,-22.469105637293822,-1.1719249822729516,-1.3003178804980315,-1.3025742532173048,24.041930459540513,0.0033950918978653544,-1.913469135139678e-06,-6.161233366180907e-05,0.34619125507009313,0.0038481888630902007,8.200788056110021e-05,1.5821135481701226e-05,0.0009901242787735533,-0.2419262851142605,-0.02738706522143275,-0.02361675977874711,99.79072255086861,5.323740257586628,0.5932291973624331,0.5100953460975148,-37.54921286990162,,,,,5.478966822824155,0.6427580133545447,0.5577666331983622,-39.367175576714054
GISS-E2-R,0.019811983706512437,-0.0016527373387107414,0.000664076940927405,0.16362501235183324,,,,,0.5732634428314869,-0.047822261777196395,0.01921519127354987,4.734520121309097,-0.3701608919353703,0.9315013011856976,0.7910052029632126,32.11933199980246,-1.3228845881477724,-1.197639359235552,-1.2111578174623787,97.45913065520796,-0.5966975884909971,0.1310817032531446,0.052528180382509504,81.57328974686443,0.03110759856934009,-0.01853428106270294,-0.013176139423811684,0.4908202816783743,0.050919580862337055,-0.020187017324157175,-0.012512061674471608,0.6544452931686331,0.0472017063181186,-0.019950392209874046,-0.012702269094295837,0.6501729863791601,7.636580007168476,0.7415221749523084,1.485746542506547,126.22304366140159,6.091758944884077,0.3484156062644672,0.9683286175607293,185.77867952041439,-2.0007664257547617,-6.4787053169553985,-5.99537489096835,147.7999920291138,-1.5424642807670352,-5.088605895732343,-4.7058498601956416,116.93281050651166,,,,,0.883416332137628,-1.8806718083537959,-1.5823274291942937,-65.54230689768957,1.5448210622843703,0.39310656868785543,0.5174179249458248,-59.55563585901278,-0.20310254879337464,-0.883679076239126,-0.8102204268650723,-36.85385212740596,1.0865190102269793,-0.9969924604023319,-0.7721067459887223,-28.688454893077257,-0.45830214841709704,-1.390099420822061,-1.2895250307851533,30.867181524821245,-0.0019889924242842416,0.0004369392667468719,0.00017509411295402177,0.2719109657327462,0.0,0.0,0.0,0.0,,,,,1.8745024614683032,0.14641046349619558,0.33293365236014694,-33.81759601968812,1.8735953479782097,0.14635068489189962,0.3327824158906765,-307.0048335502002,,,,
HadCM3,0.186666477796825,-0.00913422428745786,-0.014541065854003943,0.3358995230283759,,,,,,,,,,,,,,,,,,,,,0.18923027374215728,-0.0022944670494862707,-0.007583232199513512,0.4178984063037281,0.3758967513054906,-0.011428688976818813,-0.022124295621772094,0.7537979287070488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.828196719945314,1.1536429910705905,0.8864898160194237,-17.429339223009052,,,,,,,,
HadGEM2-ES,0.031288683756493435,0.00180624386189987,0.00044497460780018594,0.07393736351692014,,,,,0.9937282792832347,0.0560222815553022,0.012726328145219235,2.397967636320759,1.3333528927987732,0.5041961830771946,0.4659121896285576,-16.890899761530186,-2.900095382110692,-1.2472314294794415,-1.1709150564800979,97.79704675306135,,,,,0.17524542669784932,0.005599888436797207,-0.0022330201065798305,0.3817511611159515,0.2065341116531353,0.007406131785908154,-0.0017880460905960183,0.4556885239359526,0.1926561451003057,0.007557622276514464,-0.0009887846355369767,0.4528986690830984,22.098157502774256,4.235616515208022,3.4108636137044925,139.45022651691798,18.682952516916714,2.4374132178218417,1.6873208495107122,187.33979793364514,-5.405113966058394,-5.498117806567194,-5.502411998942392,135.22714227580136,-4.643625566079152,-4.207579440900531,-4.18744622988757,102.04124219359697,,,,,0.3266357009795813,-0.05255329410553103,-0.07006128606100595,-0.21073930518965553,3.4152049858575353,1.7982032973861664,1.7235427641937662,-47.88957141672717,-2.327081174108118,-0.5602184754102186,-0.4786385289555799,14.492932136531055,2.6537168710727475,0.5076651714959937,0.4085772328183701,-14.703671430335818,-0.7614883990398482,-1.2905383670214547,-1.3149657705155562,33.18590008221865,,,,,,,,,182.54028017041855,118.63808458994026,115.68757932566223,177784.99438040802,5.757468130234038,0.8074940331855416,0.5789428152065454,-33.381109555205754,,,,,,,,
IPSL-CM5A-LR,0.008012374990970114,-0.0010447580408848023,-0.0012419818208688344,0.10037355096271293,,,,,,,,,1.9177047814913841,1.456621227258239,1.4465808931774085,-28.699567220766994,,,,,,,,,0.05394066349397847,0.0022276136009975467,0.0011015350573209126,0.3886920230232131,0.06195303894994242,0.0011828566489529013,-0.00014044566112320078,0.48906557491238567,0.052370714180120126,0.0006518885443145828,-0.0004743157691645128,0.48326447968353176,14.332487613342948,4.5336610183318555,4.320286475451752,124.51059529898518,10.604427817585673,1.377998122690883,1.1770878198628054,186.14303789230632,-4.043780801463612,-6.327656067423135,-6.3773886385778695,133.93702380513068,-3.152517035341859,-4.725300393781296,-4.759548568999264,100.93988272293765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2208658033617468,0.3185951979907884,0.25539674685678904,-33.225262678228866,,,,,,,,
MIROC-ESM,0.026972483777580533,-0.0013717503688377153,0.0012749761506405458,0.04823679243198219,0.1999123709969173,-0.049972730461909365,-0.02663897159451134,0.2236982598118953,0.7804538176977098,-0.03969185144657961,0.03689167101326918,1.3957405185766765,2.76560903544609,1.1661558830722711,1.3155095418510818,-23.420509291978906,-0.48914645097150355,-0.2532247181616043,-0.2752546062694847,94.98145939601017,,,,,0.124088518172849,-0.03662687408311083,-0.021619599990790606,0.491057634084019,0.15106100147499302,-0.03799862521813857,-0.020344624579190174,0.5392944282798018,0.14444936367964623,-0.037693957809816325,-0.020685787582259363,0.538587615299309,21.391854329038694,1.5467867364904748,3.3998784942959333,131.11618102748278,16.3662308465519,-1.0871445345913173,0.5426159040592324,185.73591930454864,-5.377299773364257,-6.727868468757492,-6.601755130714594,145.8254747286379,-4.90562316952726,-5.1887639886351025,-5.162324878980272,113.00465320242014,,,,,1.0078838204405318,-0.0316378161988185,0.06543058469895244,0.22585182663399953,5.025623482486758,2.633931271081771,2.8572625902366795,-54.61973827706584,-3.5460628281352093,-1.1264640322380721,-1.352401211084299,22.024768758211277,4.55394667223381,1.094826215099804,1.4178317971406678,-21.79891694644116,-0.4716766038369613,-1.5391044801223757,-1.4394302517343078,32.82082152621773,-0.1445699413087973,0.0022148531296632967,-0.011491610276247233,3.3096557850030512,0.18814582110014613,-0.01652463256056013,0.002587075120767064,0.056441477442157904,-43.37097798867842,0.6644576700342668,-3.447481102155848,992.8967391549468,4.964532968656705,-0.38511831275913977,0.11442116477066122,-33.99562355822523,,,,,5.563138942949987,-0.4852746517901636,0.07951381909517607,-34.72568886791004
MPI-ESM-LR,0.00809360388912971,-0.011059624669664665,-0.010906516611010308,0.004152960384256008,,,,,0.2655186714833466,0.09034219170378843,0.09174252641282304,0.13623974732480448,1.9994195394578966,0.5723251867481771,0.5837331666189982,-23.075308927218863,,,,,,,,,0.09171736535632224,0.012064868808887352,0.012701599012148623,0.48417391802217613,0.09981096775259457,0.015742577048908024,0.01641460725286692,0.4883268788266403,0.09277672521923236,,,0.4854375166732024,16.12077419183052,4.124126570581666,4.220025986286515,136.59401393153797,13.188486597097693,2.3907526109242667,2.4770680894564805,180.915888095212,-3.360304094538634,-7.100170600704189,-7.070274664432787,142.63634901604408,-2.8116128021133022,-6.01743352977698,-5.991806675980513,121.22593090234967,,,,,0.11865816679575768,-0.012030307549345982,-0.01098560333490738,0.027613198117901073,2.9322875947327915,1.7333739596574134,1.742957896830049,-44.321874163674025,-2.2649382219253695,-0.6626674051308186,-0.675475719585215,22.939069195706153,2.3835963787259047,0.6506370708220324,0.6644900896248771,-22.911455981636664,-0.5486912924253105,-1.0827370709272408,-1.0784679884522959,21.410418113694405,,,,,0.045468351354064455,0.00111574446447958,0.0014702926032583111,0.013695133202094386,0.0,0.0,0.0,0.0,4.20090288361812,0.7791608606800651,0.8065137571768588,-35.566301065432064,,,,,,,,
NorESM1-M,0.014723146664092947,0.0030715669812499957,0.003135842736322364,0.03471776325603084,,,,,0.4562090030887156,0.1000233990635988,0.10198829131579124,1.0881632632112173,1.6843780295540753,0.7241262261258505,0.7294234400148696,-22.454922545762113,-0.5420248778250141,-0.3015531662198043,-0.3028797246142574,91.94120084905427,0.03803777548294668,,,0.02947785363771689,0.09264603941930033,0.0037839901306035983,0.004274196220316884,0.44859417768543736,0.10736918738755752,0.0068555536021041585,0.007410035473445653,0.4833119413232203,0.09523055149843185,0.006330094445942069,0.006820512411476964,0.4591352780098795,14.562679131044916,3.9973262068938595,4.055609809228571,130.88452925152416,11.479075591630732,2.006182814570309,2.0584398777787953,178.77490781728144,-4.004885212508782,-5.74172967235117,-5.732148397353399,134.61552189491948,-3.3584835058172047,-4.596772164298358,-4.589941164495073,108.80966882296035,,,,,0.2966146649867007,0.02203675700994112,0.023551461697356557,-0.7177662702095767,3.083603539414156,1.9911433923235435,1.997169931449747,-47.890378565757274,-2.1405870658420554,-0.8241496388765057,-0.8314117451253544,21.36675929250969,2.4372017043309064,0.8461863872533613,0.8549631980910739,-22.08452555719482,-0.6464017053615905,-1.1449575086216583,-1.1422072334167055,25.805853072571786,0.01825725961981184,,,1.9056155272126176,,,,,-5.014735738068566,,,998.3444744189095,3.6273078262557945,0.6476595258686046,0.6640967086000984,-35.79237544406227,,,,,,,,
_mean,0.032560519738702366,-0.0009864088673507089,-0.0012638224651819697,0.07754680546967802,-0.0413248328767553,-0.04787037595232388,-0.028264082332328598,0.10740833296332922,0.5876859350041446,0.05145989154767894,0.04703781243666827,1.5921575379934616,1.5630568649545498,0.7514231061898502,0.7482869322127221,-15.671587553356012,-0.8399706699006292,-0.5463313989614372,-0.5352202789405757,92.79072746077314,-92.4418243163388,0.10343616674520816,0.057664305052956596,158.45044987624664,0.14863404421577167,0.004330189714974832,0.00045050474716877564,0.4684284144380699,0.17994060764340714,0.0038826730619661715,-0.0005594384276810712,0.5490283294802963,0.1266372372062105,-0.0011284789229719788,-0.0014764235317799995,0.47962997993184675,17.70474216260111,3.6769635153579245,3.49360864335369,131.68099125698407,14.497501586063791,1.769997719190826,1.618553553881955,181.39125560561286,-4.6701686755412,-6.215834003671045,-6.037612052954522,139.36487705945495,-4.047853941541763,-4.921845903043658,-4.776907015953991,110.15772606104566,,,,,0.43439097314048625,-0.21341820742601153,-0.20277253621401092,-6.913262717598677,3.149371774401752,1.7820960862197182,1.734150248792044,-48.51804652415951,-2.1225494804399614,-0.7323631968108393,-0.7158996790913831,12.776632053292676,2.55694046538371,0.5189450090867026,0.5131271593083032,-19.689894778075644,-0.5924315086388776,-1.2631513435649762,-1.221023366873926,28.82815199037798,-182.68490641592638,-0.0015364252294454706,-0.0027728640994369004,197.45601570681896,0.09193633019620812,0.0014309746671914013,0.004357888175969234,0.03160283626599255,-99883.96869623396,18.535043892458862,17.57831907359436,128468.30895240238,5.1447685965259895,0.6139529364349622,0.5493375595174314,-33.79461508240761,3.242236602855222,0.5273259662335015,0.5863431734579372,-173.28972698700017,3.9720650643672215,0.07874168078219057,0.3186402261467691,-31.086157929057496
_median,0.018072417917447122,-0.00024821068289637444,0.0005545257743637955,0.0476306924081487,-0.0413248328767553,-0.04787037595232388,-0.028264082332328598,0.10740833296332922,0.5732634428314869,0.05145989154767894,0.03689167101326918,1.3957405185766765,1.705506748886691,0.7377746661578504,0.7294234400148696,-19.672911153646147,-0.6909977738628217,-0.4273412606317635,-0.398234864536235,92.36596415491371,-0.5966975884909971,0.10343616674520816,0.057664305052956596,81.57328974686443,0.14863404421577167,0.0037839901306035983,0.00045050474716877564,0.46195393482089736,0.160852262106991,0.0038826730619661715,0.0007224661335031302,0.48906557491238567,0.1266372372062105,0.0033352665998228614,-0.0004743157691645128,0.47962997993184675,17.70474216260111,4.0293539160415435,3.49360864335369,131.00035513950348,14.497501586063791,1.8894384621200686,1.6291105988776167,181.15357185041245,-4.6701686755412,-6.3166311839228655,-6.037612052954522,139.41877679323727,-4.047853941541763,-5.005225899388,-4.759548568999264,111.35678970581905,,,,,0.3999241112916524,-0.046685764587026446,-0.04052344469795666,-0.7177662702095767,3.1185227799843718,1.79496024919451,1.7318732950715636,-47.88957141672717,-2.2027626438837125,-0.7323631968108393,-0.695687699338299,16.120085511141422,2.497071084857308,0.5304943283444992,0.47007461081759366,-21.79891694644116,-0.619416607000234,-1.2631513435649762,-1.2168674990695705,28.82815199037798,-0.07992796959471249,0.0002175128988058661,-0.0014172382165493548,2.627284566993562,0.09193633019620812,0.0005988761725203401,0.0020286838620126877,0.03160283626599255,-16.51977371086832,0.0,-0.02361675977874711,993.627639660658,5.1447685965259895,0.6476595258686046,0.5493375595174314,-33.99562355822523,3.242236602855222,0.5273259662335015,0.5863431734579372,-173.28972698700017,4.725515943595688,0.07874168078219057,0.3186402261467691,-32.905923398483765
